"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"healthy","MS15006105",480786.377096843,209382.457876353,75760201.8270581,909034.906389693,26150391.5222936,139970.212728457,19991.2693157663,769343.346517908,117756.850517609,31107.7981534078,44248.7265111221,19536.6527956535,695500.900784166,886612.169175963,1197256.90961848,158714.50910552,11166582.5726309,318515.556582982,2970033.44808856,29697071.4694006
"healthy","MS15006106",738684.706058486,263678.558064749,81639267.3789424,1473487.98311382,41619783.5765311,203551.305073644,18107.9954758036,1000618.12921366,125625.836507424,37620.4255230987,55743.0361440597,46899.5373786964,535467.449867322,1319358.34367802,1275117.5212591,196234.910284785,11473412.4922203,278981.766566943,4106928.86001548,53278419.4686982
"healthy","MS15006107",1158205.27770389,304016.08619738,91442693.748053,2018233.67871789,51207082.3724625,262511.860558096,12218.0383024075,678301.128401421,97693.1059132485,36012.9388081406,73468.0449864762,15774.8489065757,568024.545679511,233773.877782497,1653400.65758093,160158.647767792,13811566.1300904,331647.774782835,4427664.04026841,53001824.8041566
"healthy","MS15006108",667507.954754325,328646.47524395,91038118.531217,1712795.15198551,48498280.8487926,271908.556652818,18680.9945759011,753286.87251141,179232.857244275,36255.6540901,28676.9295891579,6273.071271537,626614.683841217,81020.9972662827,2723089.93733809,190196.632015921,9819642.45319655,358105.427078318,3465517.61003768,39701324.5478634
"healthy","MS15006109",1116156.57988194,291612.779882366,89103925.1991947,1746898.99445837,48504541.0952576,240679.273493754,7414.32094204057,639446.787709785,82034.8293437763,26257.3430894104,57042.8409668729,14766.6122589598,544190.30052452,228469.660244516,1530374.41414331,140285.82910788,13112331.0877352,290003.716125986,4168421.80407522,46133552.9905068
"healthy","MS15006110",583665.56891524,300836.259682717,82168406.3950441,1033163.7064088,40437694.0313911,239675.695420403,56550.417691662,1535983.76405127,162170.146694001,52148.5083551855,67035.0921580065,10711.5619154989,1101465.55352334,151308.508702569,1498308.73197062,211416.597099154,11465777.051518,296565.099897515,4614688.85698031,44663276.7282507
"healthy","MS15006111",768281.356319909,286906.319147249,84007684.4595416,1191962.5240346,42281717.1284681,249536.601507994,7239.58744082593,657563.348217255,97247.805136839,27346.4596272221,28236.7667078374,4527.24467202333,615145.1764528,47006.8853842827,1422801.70684553,202368.161966582,12515439.8230191,405329.820459968,3640054.60038105,36285298.5736611
"healthy","MS15006112",928775.471982724,398628.594273787,103088680.923583,1653361.61805049,54937627.1559125,335832.166539184,12812.1416094545,1338425.85305241,203620.125786044,44346.1199951477,60472.6517296207,4615.85542672928,1010941.9773167,45078.4986677585,2551881.47453586,292359.172665777,12896045.6817324,461728.22161027,4550177.29059842,40237479.9997748
"healthy","MS15006113",668505.622201584,294474.079215199,83420925.9426959,1166577.53895625,41916782.7601093,249034.55797401,54461.3160629738,1571530.05372859,180516.405925569,49656.1630515005,63078.0522130253,9190.65673219616,1108206.60944357,68892.3011051727,1467446.50687471,208677.31932852,11458685.4615076,313049.454590231,4617319.17226083,39725692.9805428
"healthy","MS15006114",521506.26553858,502274.575240178,112936875.753514,1846298.8010826,62715060.7373685,385119.456043028,109916.810288904,1955982.59730894,374196.308030951,116879.034368967,63549.5754000768,2739.68486294172,1328725.70743429,49971.1103781509,2196559.5675502,227246.177010786,18065663.5639517,338331.905717128,7783857.75552895,56861175.1445406
"healthy","MS15006115",640969.927072436,329171.890866969,88060256.559863,1410946.35889014,37928799.5833081,220058.295490633,21298.8350232658,1072511.67044602,215755.085540016,38008.8469417274,37934.2368692508,14624.4772114483,799944.407515024,424367.753351393,1567145.22300495,212231.808373613,12375864.8053521,328483.674040748,4722700.87656636,37245193.3178944
"healthy","MS15006116",537659.54150316,198144.288425299,60565989.5447942,853681.891492704,23195698.4306802,144356.278304427,2987.33141304092,654943.246565285,72314.8348255511,6837.46470611552,18085.6289947268,4865.38825420274,590529.442173843,114040.967273366,840454.169655342,89489.2750542885,8465272.53020775,139241.753026831,3401495.49655383,24304265.1310225
"healthy","MS15006117",662818.216981195,255827.434140153,70063108.006213,927482.997793198,28269346.696547,179677.152690699,5052.16399888776,588462.100245364,79281.2610990226,18352.5972564356,17088.2860763671,3361.43525768708,361278.078023302,46560.7427560709,1429760.48337052,141028.756527393,10072320.3909216,320121.913568205,2806435.59530411,20987168.6000504
"healthy","MS15006118",810281.562092733,287395.672009773,77273229.4769449,1104030.2668883,31874752.3042817,194626.491766456,8006.16662334379,609986.241663753,96206.6510635974,18133.1445591343,20863.8527832265,3932.33803552599,354601.964398703,53297.9372525355,1498535.37662877,138870.362369752,10535596.7980329,356868.917274425,2822590.58454376,20776834.628276
"healthy","MS15006119",579675.624638675,266099.559849552,73981357.9320436,1228649.35822923,30921504.8258095,190500.449662038,8637.7408982917,572376.623389721,70013.6884931623,13228.681194167,18470.1378624068,2001.05630804216,527020.448099977,36847.6915596995,1050033.52033944,140503.822138861,9657396.64807156,304100.928428375,3170287.18740757,21865594.3986152
"healthy","MS15006120",339675.697686119,285991.364062168,74780144.2748734,774073.765817169,27581317.084382,166692.376669677,29808.1519260493,1142662.26730261,155947.376066839,27490.0014943954,68547.5569851776,2011.51789130993,817188.103546899,40112.0368868818,1221775.42032133,153739.10421391,14748644.5604038,264656.331558269,4391773.77960299,25562203.990487
